Date,Apparent Temperature,Cloud Cover,Dew Point,Humidity,Description,Precipitation Intensity,Precipitation Probability,Preassure,Summary,Temperature,UV Index,Visibility,Wind Bearing,Wind Speed,Moon Phase
1514786400,18.14,1.0,22.69,0.85,cloudy,0.0,0.0,1038.4,Overcast,26.54,0,9.997,8.0,8.08,0.5
1514790000,18.43,1.0,19.4,0.75,cloudy,0.0,0.0,1038.3,Overcast,26.27,0,9.997,8.0,7.21,0.5
1514793600,17.99,1.0,19.4,0.75,cloudy,0.0,0.0,1038.7,Overcast,26.27,0,9.997,2.0,7.82,0.5
1514797200,18.86,1.0,15.91,0.65,cloudy,0.0,0.0,1039.0,Overcast,26.09,0,9.997,351.0,6.39,0.5
1514800800,18.38,1.0,15.23,0.63,cloudy,0.0,0.0,1039.3,Overcast,26.09,0,9.997,2.0,6.99,0.5
1514804400,18.02,1.0,14.54,0.61,cloudy,0.0,0.0,1039.9,Overcast,26.09,0,9.997,358.0,7.47,0.5
1514808000,18.51,1.0,14.46,0.61,cloudy,0.0,0.0,1040.2,Overcast,26.09,0,9.997,0.0,6.82,0.5
1514811600,19.71,1.0,14.38,0.61,cloudy,0.0,0.0,1041.0,Overcast,26.09,0,9.997,12.0,5.42,0.5
1514815200,17.68,1.0,12.9,0.59,cloudy,0.0,0.0,1041.8,Overcast,25.34,0,9.997,10.0,6.73,0.5
1514818800,18.08,1.0,10.98,0.54,cloudy,0.0,0.0,1042.4,Overcast,25.15,1,9.997,14.0,5.99,0.5
1514822400,17.99,0.99,12.19,0.56,cloudy,0.0,0.0,1043.1,Overcast,25.9,1,9.997,350.0,7.2,0.5
1514826000,18.2,0.99,10.98,0.52,cloudy,0.0,0.0,1042.5,Overcast,26.27,2,9.997,355.0,7.52,0.5
1514829600,21.87,0.75,13.37,0.55,partly-cloudy-day,0.0,0.0,1041.9,Mostly Cloudy,27.36,3,9.997,0.0,4.76,0.5
1514833200,23.44,1.0,11.71,0.47,cloudy,0.0,0.0,1040.9,Overcast,29.51,3,9.997,8.0,5.8,0.5
1514836800,24.37,1.0,12.51,0.47,cloudy,0.0,0.0,1039.9,Overcast,30.19,2,9.997,352.0,5.64,0.5
1514840400,27.01,1.0,12.9,0.48,cloudy,0.0,0.0,1038.9,Overcast,30.41,1,9.997,358.0,3.37,0.5
1514844000,26.97,1.0,12.98,0.46,cloudy,0.0,0.0,1039.0,Overcast,31.12,1,9.997,10.0,4.09,0.5
1514847600,25.05,1.0,13.69,0.5,cloudy,0.0,0.0,1038.7,Overcast,30.19,0,9.997,12.0,4.9,0.5
1514851200,25.79,1.0,13.69,0.51,cloudy,0.0,0.0,1037.8,Overcast,29.54,0,9.997,27.0,3.54,0.5
1514854800,29.51,1.0,14.15,0.52,cloudy,0.0,0.0,1039.0,Overcast,29.51,0,9.997,19.0,1.3,0.5
1514858400,26.4,1.0,13.76,0.51,cloudy,0.0,0.0,1038.6,Overcast,29.51,0,9.997,20.0,3.07,0.5
1514862000,29.51,1.0,13.29,0.5,cloudy,0.0,0.0,1038.9,Overcast,29.51,0,9.997,46.0,1.72,0.5
1514865600,29.12,1.0,12.98,0.5,cloudy,0.0,0.0,1038.7,Overcast,29.12,0,9.997,20.0,2.45,0.5
1514869200,29.12,1.0,12.27,0.49,cloudy,0.0,0.0,1038.4,Overcast,29.12,0,9.997,23.0,1.63,0.5
1514872800,28.94,1.0,11.87,0.48,cloudy,0.0,0.0,1038.1,Overcast,28.94,0,9.997,21.0,2.12,0.54
1514876400,26.01,1.0,11.71,0.48,cloudy,0.0,0.0,1037.4,Overcast,29.12,0,9.997,20.0,3.03,0.54
1514880000,28.94,1.0,14.73,0.55,cloudy,0.0,0.0,1037.6,Overcast,28.94,0,9.997,15.0,2.06,0.54
1514883600,28.94,1.0,14.75,0.55,cloudy,0.0,0.0,1037.1,Overcast,28.94,0,9.997,21.0,2.14,0.54
1514887200,28.94,1.0,12.03,0.49,cloudy,0.0,0.0,1036.7,Overcast,28.94,0,9.997,20.0,2.02,0.54
1514890800,27.87,1.0,12.03,0.51,cloudy,0.0,0.0,1036.8,Overcast,27.87,0,9.997,33.0,2.76,0.54
1514894400,28.07,1.0,12.66,0.52,cloudy,0.0,0.0,1036.4,Overcast,28.07,0,9.997,52.0,2.62,0.54
1514898000,28.07,1.0,13.29,0.53,cloudy,0.0,0.0,1036.7,Overcast,28.07,0,9.997,42.0,1.7,0.54
1514901600,28.07,1.0,13.37,0.54,cloudy,0.0,0.0,1037.0,Overcast,28.07,0,9.997,36.0,2.36,0.54
1514905200,28.42,1.0,13.53,0.53,cloudy,0.0,0.0,1037.2,Overcast,28.42,1,9.997,23.0,1.69,0.54
1514908800,29.12,1.0,13.22,0.51,cloudy,0.0,0.0,1036.9,Overcast,29.12,1,9.997,30.0,2.36,0.54
1514912400,29.12,1.0,13.22,0.51,cloudy,0.0,0.0,1036.9,Overcast,29.12,2,9.997,26.0,2.42,0.54
1514916000,30.96,1.0,12.66,0.46,cloudy,0.0,0.0,1036.2,Overcast,30.96,3,9.997,28.0,2.35,0.54
1514919600,27.33,1.0,16.37,0.53,cloudy,0.0,0.0,1034.3,Overcast,31.66,3,9.997,19.0,4.33,0.54
1514923200,31.82,1.0,14.46,0.48,cloudy,0.0,0.0,1033.0,Overcast,31.82,2,9.997,17.0,1.48,0.54
1514926800,31.66,1.0,15.45,0.51,cloudy,0.0,0.0,1033.2,Overcast,31.66,1,9.997,356.0,1.98,0.54
1514930400,29.44,1.0,23.47,0.78,cloudy,0.0,0.0,1033.8,Overcast,29.44,1,5.108,1.0,1.88,0.54
1514934000,25.48,1.0,25.14,0.85,cloudy,0.0,0.0,1033.8,Overcast,28.94,0,5.964,353.0,3.26,0.54
1514937600,28.94,1.0,25.14,0.85,cloudy,0.0,0.0,1033.9,Overcast,28.94,0,9.973,351.0,2.24,0.54
1514941200,24.82,1.0,24.38,0.83,cloudy,0.0,0.0,1034.6,Overcast,28.94,0,9.997,348.0,3.77,0.54
1514944800,28.07,1.0,22.69,0.8,cloudy,0.0,0.0,1034.7,Overcast,28.07,0,9.997,352.0,2.92,0.54
1514948400,28.07,1.0,21.82,0.77,cloudy,0.0,0.0,1035.1,Overcast,28.07,0,9.997,347.0,2.72,0.54
1514952000,28.07,1.0,21.82,0.77,cloudy,0.0,0.0,1035.2,Overcast,28.07,0,9.997,343.0,2.19,0.54
1514955600,27.0,1.0,20.66,0.77,cloudy,0.0,0.0,1035.3,Overcast,27.0,0,9.997,335.0,2.32,0.54
1514959200,26.45,0.57,20.03,0.76,partly-cloudy-night,0.0,0.0,1034.8,Partly Cloudy,26.45,0,9.997,350.0,1.14,0.58
1514962800,25.53,0.0,19.26,0.77,clear-night,0.0,0.0,1034.5,Clear,25.53,0,9.997,309.0,0.25,0.58
1514966400,22.83,0.0,18.84,0.84,clear-night,0.0,0.0,1034.1,Clear,22.83,0,9.997,303.0,0.23,0.58
1514970000,22.14,0.0,18.41,0.85,clear-night,0.0,0.0,1033.7,Clear,22.14,0,9.997,327.0,0.4,0.58
1514973600,21.49,0.0,17.02,0.83,clear-night,0.0,0.0,1033.7,Clear,21.49,0,9.997,286.0,0.4,0.58
