name,company,units_thousands
budesonide,Generic Drug,42481
acetaminophen/hydrocodone,Generic Drug,39035
ProAir HFA,"Teva Pharmaceuticals USA, Inc.",29590
OneTouch,,26904
Nexium,AstraZeneca,26546
Cymbalta,,25358
Lantus,Sanofi,24074
Advair Diskus,GlaxoSmithKline,23044
atorvastatin,Generic Drug,19645
Ventolin HFA,GlaxoSmithKline,
Lantus Solostar,Sanofi,16790
Singulair,Merck,
Crestor,AstraZeneca,16385
fentanyl,Generic Drug,16158
enoxaparin,Generic Drug,15404
Spiriva,,13959
AndroGel,AbbVie Inc.,13763
Novolog,Novo Nordisk,12479
Levemir,Novo Nordisk,11735
NovoLog FlexPen,Novo Nordisk,10911
Nasonex,Merck,10579
Humalog,Eli Lilly and Company,10220
Abilify,"Otsuka Pharmaceutical Co., Ltd",10130
metoprolol,Generic Drug,9851
Januvia,Merck,9219
Plavix,,
Namenda,Allergan plc,8221
Symbicort,AstraZeneca,8126
Lyrica,Pfizer Inc.,8065
Diovan,Novartis Pharmaceuticals Corporation,7962
Suboxone,,7832
Zetia,Merck,7801
Combivent,"Boehringer Ingelheim Pharmaceuticals, Inc.",7619
Flovent HFA,GlaxoSmithKline,7354
Synthroid,AbbVie Inc.,
Lidoderm,Endo Pharmaceuticals Inc.,6560
Lovaza,GlaxoSmithKline,6375
Remicade,"Janssen Pharmaceuticals, Inc.",6321
Benicar,Daiichi Sankyo,5896
Dexilant,Takeda Pharmaceutical Company Limited,5644
Restasis,Allergan plc,5606
OxyContin,Purdue Pharma LP,4997
Vytorin,Merck,4810
escitalopram,Generic Drug,
Actos,Takeda Pharmaceutical Company Limited,
VESIcare,"Astellas Pharma US, Inc.",4092
Celebrex,Pfizer Inc.,4073
Pradaxa,"Boehringer Ingelheim Pharmaceuticals, Inc.",4007
Niaspan,AbbVie Inc.,3920
Janumet,Merck,3893
Diovan HCT,Novartis Pharmaceuticals Corporation,
Lipitor,Pfizer Inc.,
Enbrel,Amgen Inc.,3736
Vyvanse,Takeda Pharmaceutical Company Limited,3146
methylphenidate,Generic Drug,3059
Aciphex,Eisai Inc.,3025
TriCor,AbbVie Inc.,3018
Cialis,Eli Lilly and Company,2923
amphetamine/dextroamphetamine,Generic Drug,2761
Evista,,
Tamiflu,,
Humira,AbbVie Inc.,2450
Epogen,Amgen Inc.,2394
Rebif,"EMD Serono, Inc.",2361
Truvada,"Gilead Sciences, Inc.",2327
Rituxan,"Genentech, Inc.",2230
Atripla,"Gilead Sciences, Inc.",1924
Seroquel,AstraZeneca,
Avastin,"Genentech, Inc.",1870
Viagra,Pfizer Inc.,1854
Seroquel XR,AstraZeneca,1737
Victoza,Novo Nordisk,
Adderall XR,Takeda Pharmaceutical Company Limited,1472
Lexapro,Allergan plc,
pioglitazone,Generic Drug,
Lunesta,Sunovion Pharmaceuticals Inc.,1369
Neulasta,Amgen Inc.,1313
Orencia,Bristol-Myers Squibb Company,1307
fenofibrate,Generic Drug,
modafinil,Generic Drug,
Procrit,"Janssen Pharmaceuticals, Inc.",1182
olanzapine,Generic Drug,
Reyataz,Bristol-Myers Squibb Company,1116
Aranesp,Amgen Inc.,1106
Lovenox,Sanofi,
Isentress,Merck,1029
Renvela,Sanofi,
Copaxone,"Teva Pharmaceuticals USA, Inc.",933
Prezista,"Janssen Pharmaceuticals, Inc.",893
EpiPen 2-Pak,,
Lucentis,"Genentech, Inc.",878
valsartan,Generic Drug,
Alimta,Eli Lilly and Company,741
Neupogen,Amgen Inc.,694
Eloxatin,Sanofi,
Varivax,Merck,
Prevnar 13,Pfizer Inc.,659
Herceptin,"Genentech, Inc.",644
Sensipar,Amgen Inc.,
Xolair,,
